place_id,nama_kelurahan,nama_kecamatan,nama_kota
ChIJZ4vwWCzzaS4R9YOSWsktFtA,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJ6RtK2MjzaS4RUM3_G2pv1Kc,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJnX2VLibzaS4RTmYUIBuSA9A,Kel,Pasar Minggu,Kota Jakarta Selatan
ChIJAXBtHt7zaS4RqSjmY_L6_Tg,Pancoran,Mampang Prapatan,Kota Jakarta Selatan
ChIJaYELyDnyaS4RCGjPIh_HyzU,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJIXz_vBXyaS4RCwm7-7rVjP4,Jati Padang,Pasar Minggu,Kota Jakarta Selatan
ChIJkah0xDfyaS4RVVK-oIB1NjA,Pejaten Barat,Pasar Minggu,Kota Jakarta Selatan
ChIJEYL_Dc7zaS4RB34juQUJWKA,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJ3YwKPTbzaS4RVeL7N3tKQps,Menteng Atas,Setiabudi,Kota Jakarta Selatan
ChIJxx6tdpbzaS4RZ-Qlex8c2vI,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJP1-5SVPzaS4RG7CXt6z9WAA,Kalibata,Pancoran,Kota Jakarta Selatan
ChIJFRyV05PzaS4RMYjyqWOO87o,Menteng Dalam,Tebet,Kota Jakarta Selatan
ChIJldgfBQDzaS4RQD2w0HmvqT0,Pejaten Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJR3f96NbzaS4RlJ7hhGiIRj4,Pancoran,Pancoran,Kota Jakarta Selatan
ChIJ7etgAUbyaS4Rltk4NYMESVU,Pejaten Timur,Pasar Minggu,Kota Jakarta Selatan
ChIJ41SXHGn1aS4R33isZf_v_DY,Pasar Manggis,Setiabudi,Kota Jakarta Selatan
